link,name,actual_price,averageRating,fiveStarRatingCount,fourStarRatingCount,threeStarRatingCount,twoStarRatingCount,oneStarRatingCount,uniqId
https://www.flipkart.com/portronics-laptop-cooling-stand-wood-portable-table/p/itmf2bue6z87augn,Portronics Laptop Cooling Stand Wood Portable Laptop Table,"₹2,505",4.4,"14,513","7,085","1,859",464,695,58f52578-c878-5504-bdec-8597dbe4f526
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",51197ac3-8e75-5c87-9ca4-ceee57f8a79c
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",b7a7ec61-7aef-5a8c-b5c9-6680d2478437
https://www.flipkart.com/portronics-laptop-cooling-stand-wood-portable-table/p/itmf2bue6z87augn,Portronics Laptop Cooling Stand Wood Portable Laptop Table,"₹2,505",4.4,"14,513","7,085","1,859",464,695,7505076e-d7ff-5762-a9cf-de55ccc5589d
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",bd37ea20-8ca5-56ad-9230-e79c697abfa2
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",8c211c42-81d4-51fa-b8dd-59c66413326a
https://www.flipkart.com/portronics-laptop-cooling-stand-wood-portable-table/p/itmf2bue6z87augn,Portronics Laptop Cooling Stand Wood Portable Laptop Table,"₹2,505",4.4,"14,513","7,085","1,859",464,695,c3752fa2-9ed9-5eab-bd39-044738a426d8
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",9996760f-62bd-5baf-9f5d-804c918e171c
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",a6f246fe-03c2-58d1-bf4d-98265338c915
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",b9384110-14a4-525a-865d-0b493a786c38
https://www.flipkart.com/portronics-laptop-cooling-stand-wood-portable-table/p/itmf2bue6z87augn,Portronics Laptop Cooling Stand Wood Portable Laptop Table,"₹2,505",4.4,"14,513","7,085","1,859",464,695,ab98a151-f2b2-5a27-8a41-3fee6dbc8548
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",0387c675-05cd-57ff-aece-eac43fb19b24
